Mode,Domain,Problem,pl,Goal {AstarGNN},Length {AstarGNN},Nodes {AstarGNN},Total (ms) {AstarGNN},Init (ms) {AstarGNN},Search (ms) {AstarGNN},Overhead (ms) {AstarGNN},Goal {BFS},Length {BFS},Nodes {BFS},Total (ms) {BFS},Init (ms) {BFS},Search (ms) {BFS},Overhead (ms) {BFS}
Test,Assemble,Assemble_B10__pl_5,5,TO,,,,,,,TO,,,,,,
Test,Assemble,Assemble_B2__pl_5,5,Yes,5.0,14.0,285.0,5.0,200.0,79.0,Yes,5.0,14.0,287.0,6.0,224.0,56.0
Training,Assemble,Assemble_B3__pl_5,5,Yes,5.0,14.0,308.0,6.0,203.0,98.0,Yes,5.0,14.0,302.0,5.0,204.0,92.0
Test,Assemble,Assemble_B4__pl_5,5,Yes,5.0,14.0,330.0,4.0,236.0,89.0,Yes,5.0,14.0,357.0,5.0,264.0,87.0
Training,Assemble,Assemble_B5__pl_5,5,Yes,5.0,14.0,475.0,6.0,370.0,98.0,Yes,5.0,14.0,448.0,5.0,368.0,74.0
Test,Assemble,Assemble_B6__pl_5,5,Yes,5.0,14.0,1127.0,5.0,1047.0,74.0,Yes,5.0,14.0,1190.0,5.0,1106.0,78.0
Training,Assemble,Assemble_B7__pl_5,5,Yes,5.0,14.0,9894.0,5.0,9807.0,81.0,Yes,5.0,14.0,10020.0,4.0,9959.0,56.0
Test,Assemble,Assemble_B8__pl_5,5,Yes,5.0,14.0,48340.0,3.0,48286.0,50.0,Yes,5.0,14.0,49503.0,7.0,49439.0,56.0
Test,Assemble,Assemble_B9__pl_5,5,TO,,,,,,,TO,,,,,,
Test,Assemble,Assemble_C__pl_5,5,Yes,5.0,14.0,238.0,2.0,180.0,55.0,Yes,5.0,14.0,257.0,6.0,192.0,58.0
Test,CC,CC_2_2_3__pl_3,3,Yes,3.0,9.0,181.0,15.0,67.0,98.0,Yes,4.0,10.0,184.0,14.0,66.0,103.0
Training,CC,CC_2_2_3__pl_4,4,Yes,4.0,14.0,171.0,12.0,74.0,84.0,Yes,4.0,9.0,182.0,14.0,68.0,99.0
Test,CC,CC_2_2_3__pl_5,5,Yes,5.0,77.0,684.0,13.0,572.0,98.0,Yes,7.0,28.0,255.0,13.0,158.0,83.0
Training,CC,CC_2_2_3__pl_6,6,Yes,6.0,178.0,1532.0,14.0,1441.0,76.0,Yes,7.0,25.0,291.0,15.0,174.0,101.0
Test,CC,CC_2_2_3__pl_7,7,Yes,7.0,558.0,4358.0,14.0,4204.0,139.0,Yes,44.0,363.0,2249.0,14.0,2112.0,122.0
Test,CC,CC_2_2_3__pl_8,8,Yes,8.0,2539.0,27312.0,15.0,26900.0,396.0,TO,,,,,,
Test,CC,CC_2_2_4__pl_3,3,Yes,3.0,11.0,373.0,37.0,276.0,59.0,Yes,4.0,9.0,370.0,35.0,261.0,73.0
Test,CC,CC_2_2_4__pl_4,4,Yes,4.0,23.0,778.0,36.0,680.0,61.0,Yes,7.0,28.0,866.0,41.0,767.0,57.0
Training,CC,CC_2_2_4__pl_5,5,Yes,5.0,94.0,3483.0,36.0,3332.0,114.0,Yes,12.0,70.0,2787.0,36.0,2646.0,104.0
Test,CC,CC_2_2_4__pl_6,6,Yes,6.0,363.0,9536.0,32.0,9227.0,276.0,Yes,13.0,79.0,2764.0,35.0,2603.0,125.0
Test,CC,CC_2_2_4__pl_7,7,Yes,7.0,2084.0,45668.0,45.0,44687.0,935.0,TO,,,,,,
Training,CC,CC_2_3_4__pl_3,3,Yes,3.0,19.0,6067.0,379.0,5577.0,110.0,Yes,24.0,199.0,49682.0,440.0,48736.0,505.0
Test,CC,CC_2_3_4__pl_4,4,Yes,4.0,42.0,12130.0,363.0,11561.0,205.0,Yes,24.0,201.0,49087.0,370.0,48035.0,681.0
Test,CC,CC_2_3_4__pl_5,5,Yes,5.0,127.0,45028.0,399.0,44150.0,478.0,Yes,13.0,85.0,27215.0,411.0,26364.0,439.0
Test,CC,CC_2_3_4__pl_6,6,Yes,6.0,675.0,124726.0,402.0,121545.0,2778.0,Yes,29.0,256.0,56262.0,413.0,55059.0,789.0
Training,CC,CC_2_3_4__pl_7,7,Yes,7.0,4153.0,585278.0,372.0,574353.0,10552.0,TO,,,,,,
Test,CC,CC_3_2_3__pl_3,3,Yes,3.0,14.0,318.0,28.0,203.0,86.0,Yes,9.0,48.0,533.0,20.0,424.0,88.0
Training,CC,CC_3_2_3__pl_4,4,Yes,4.0,47.0,689.0,19.0,562.0,107.0,Yes,5.0,16.0,254.0,23.0,165.0,65.0
Training,CC,CC_3_2_3__pl_5,5,Yes,5.0,136.0,2088.0,23.0,1986.0,78.0,Yes,8.0,39.0,500.0,26.0,413.0,60.0
Test,CC,CC_3_2_3__pl_6,6,Yes,6.0,367.0,6443.0,22.0,6251.0,169.0,Yes,6.0,21.0,323.0,20.0,244.0,58.0
Test,CC,CC_3_2_3__pl_7,7,Yes,7.0,1548.0,26110.0,20.0,25731.0,358.0,TO,,,,,,
Test,CC,CC_3_3_3__pl_3,3,Yes,3.0,15.0,790.0,71.0,624.0,94.0,Yes,5.0,17.0,828.0,52.0,688.0,87.0
Training,CC,CC_3_3_3__pl_4,4,Yes,4.0,39.0,1337.0,55.0,1194.0,87.0,Yes,4.0,10.0,599.0,58.0,472.0,68.0
Test,CC,CC_3_3_3__pl_5,5,Yes,5.0,253.0,8316.0,67.0,7921.0,327.0,Yes,18.0,137.0,3073.0,49.0,2882.0,141.0
Test,CC,CC_3_3_3__pl_6,6,Yes,6.0,1942.0,73680.0,49.0,72067.0,1563.0,Yes,31.0,279.0,5961.0,50.0,5677.0,233.0
Test,CC,CC_3_3_3__pl_7,7,Yes,7.0,11726.0,405444.0,54.0,394411.0,10978.0,TO,,,,,,
Test,CoinBox,Coin_in_the_Box__pl_2,2,Yes,2.0,2.0,109.0,17.0,7.0,84.0,Yes,2.0,2.0,106.0,17.0,7.0,81.0
Training,CoinBox,Coin_in_the_Box__pl_3,3,Yes,3.0,17.0,228.0,18.0,115.0,94.0,Yes,4.0,12.0,201.0,17.0,98.0,85.0
Test,CoinBox,Coin_in_the_Box__pl_5,5,Yes,5.0,78.0,728.0,17.0,623.0,87.0,Yes,5.0,16.0,265.0,17.0,147.0,100.0
Training,CoinBox,Coin_in_the_Box__pl_6,6,Yes,6.0,381.0,3760.0,18.0,3572.0,169.0,TO,,,,,,
Test,CoinBox,Coin_in_the_Box__pl_7,7,Yes,7.0,1793.0,17758.0,18.0,17444.0,295.0,TO,,,,,,
Training,SC,SC_4_1__pl_3,3,Yes,3.0,4.0,96.0,7.0,10.0,78.0,Yes,3.0,4.0,109.0,7.0,9.0,92.0
Test,SC,SC_4_1__pl_5,5,Yes,5.0,17.0,93.0,7.0,23.0,62.0,TO,,,,,,
Test,SC,SC_4_2__pl_5,5,Yes,5.0,30.0,184.0,6.0,117.0,60.0,TO,,,,,,
Training,SC,SC_4_2__pl_7,7,Yes,7.0,97.0,533.0,7.0,460.0,65.0,TO,,,,,,
Test,SC,SC_4_2__pl_8,8,Yes,8.0,184.0,923.0,7.0,852.0,63.0,TO,,,,,,
Training,SC,SC_4_3__pl_5,5,Yes,5.0,17.0,98.0,8.0,30.0,59.0,TO,,,,,,
Test,SC,SC_4_3__pl_6,6,Yes,6.0,21.0,93.0,5.0,35.0,52.0,TO,,,,,,
Test,SC,SC_4_3__pl_8,8,Yes,8.0,59.0,177.0,6.0,99.0,71.0,TO,,,,,,
Test,SC,SC_4_4__pl_5,5,Yes,5.0,17.0,91.0,5.0,26.0,59.0,TO,,,,,,
Training,SC,SC_8_10__pl_6,6,Yes,6.0,113.0,882.0,19.0,800.0,62.0,Yes,1951.0,24489.0,384947.0,19.0,382954.0,1973.0
Test,SC,SC_8_10__pl_8,8,Yes,8.0,485.0,4121.0,18.0,3968.0,134.0,TO,,,,,,
Test,SC,SC_8_10__pl_9,9,Yes,9.0,1772.0,16936.0,15.0,16472.0,448.0,TO,,,,,,
Test,SC,SC_8_10__pl_12,12,Yes,12.0,35063.0,281914.0,21.0,278217.0,3675.0,TO,,,,,,
Test,SC,SC_9_11__pl_4,4,Yes,4.0,8.0,139.0,20.0,32.0,86.0,Yes,6.0,13.0,150.0,19.0,53.0,77.0
Test,SC,SC_9_11__pl_5,5,Yes,5.0,11.0,122.0,18.0,46.0,57.0,Yes,8.0,21.0,189.0,18.0,114.0,56.0
Training,SC,SC_9_11__pl_6,6,Yes,6.0,26.0,198.0,16.0,130.0,51.0,Yes,509.0,5116.0,48319.0,21.0,48013.0,284.0
Test,SC,SC_9_11__pl_7,7,Yes,7.0,41.0,326.0,19.0,228.0,78.0,Yes,1286.0,15107.0,202732.0,18.0,201444.0,1269.0
Training,SC,SC_9_11__pl_8,8,Yes,8.0,66.0,500.0,19.0,422.0,58.0,Yes,1099.0,12447.0,152051.0,20.0,151169.0,861.0
Test,SC,SC_9_11__pl_9,9,Yes,9.0,237.0,2041.0,21.0,1932.0,87.0,TO,,,,,,
Test,SC,SC_9_11__pl_10,10,Yes,10.0,657.0,6013.0,20.0,5788.0,204.0,TO,,,,,,
Test,SC,SC_9_11__pl_11,11,Yes,11.0,1272.0,12372.0,19.0,12011.0,341.0,TO,,,,,,
Test,SC,SC_10_8__pl_9,9,TO,,,,,,,TO,,,,,,
Training,SC,SC_10_8__pl_10,10,Yes,10.0,10.0,108.0,17.0,34.0,56.0,Yes,10.0,10.0,137.0,16.0,37.0,83.0
Test,SC,SC_10_8__pl_14,14,Yes,14.0,93.0,572.0,16.0,472.0,83.0,Yes,16.0,33.0,252.0,17.0,174.0,60.0
Training,SC,SC_10_8__pl_15,15,Yes,15.0,130.0,822.0,17.0,730.0,74.0,TO,,,,,,
Test,SCRich,SC_10_10__pl_2,2,Yes,2.0,6.0,311.0,31.0,195.0,84.0,Yes,3.0,8.0,315.0,32.0,220.0,62.0
Test,SCRich,SC_10_10__pl_3,3,Yes,3.0,10.0,347.0,30.0,259.0,57.0,TO,,,,,,
Training,SCRich,SC_10_10__pl_6,6,Yes,6.0,298.0,8135.0,33.0,8003.0,98.0,TO,,,,,,
Training,SCRich,SC_10_10__pl_7,7,Yes,7.0,589.0,16064.0,27.0,15908.0,128.0,TO,,,,,,
Test,SC,SC_10_10__pl_9,9,Yes,9.0,10.0,117.0,18.0,37.0,61.0,Yes,9.0,10.0,132.0,19.0,32.0,80.0
Test,SCRich,SC_10_10__pl_9,9,Yes,9.0,1248.0,32644.0,29.0,32475.0,139.0,Yes,12.0,57.0,1589.0,30.0,1476.0,82.0
Test,SC,SC_10_10__pl_10,10,Yes,10.0,15.0,161.0,20.0,60.0,80.0,Yes,11.0,17.0,176.0,20.0,75.0,80.0
Training,SCRich,SC_10_10__pl_10,10,Yes,10.0,1977.0,51904.0,32.0,51650.0,221.0,TO,,,,,,
Test,SCRich,SC_10_10__pl_13,13,Yes,13.0,17305.0,472785.0,32.0,471179.0,1573.0,TO,,,,,,
Training,SC,SC_10_10__pl_13,13,Yes,13.0,51.0,358.0,18.0,282.0,57.0,Yes,17.0,49.0,400.0,18.0,322.0,59.0
Test,SCRich,SC_10_10__pl_14,14,TO,,,,,,,TO,,,,,,
Test,SC,SC_10_10__pl_17,17,Yes,17.0,942.0,7546.0,21.0,7334.0,190.0,TO,,,,,,
Test,SCRich,SC_10_10__pl_17,17,TO,,,,,,,TO,,,,,,
